Distribution,Mean,Variance,Skewness,Excess Kurtosis
OU (Normal),46.82281479581562,7.607954580484375,0.0,0.0
BS-matched (Lognormal),46.82281479581562,7.607954580484397,0.17692930145973196,0.05570387538025656
